,username,Text
0,Modbro1,RT @elonmusk: Tesla Solar + Powerwall battery enables consumers to be their own utility
1,jmllubber,@elonmusk is this the fix for TESLA self driving and not kill off more people https://t.co/vQAC5rab8G
2,moscolincom,"RT @elonmusk: Powerwall 2 peak &amp; steady power capability is better than advertised. 

Now that we have lots of operational data, Tesla can…"
3,clowncummies,RT @mikastatic: Babe wake up new tesla just dropped https://t.co/egYBLPSQ0b
4,jemi_roberts,RT @elonmusk: Tesla Solar + Powerwall battery enables consumers to be their own utility
5,SideFlip4,"@lissamelee @holdthedoge @elonmusk You are light years ahead of us, Mars colonization is truly monumental! Congrats… https://t.co/qJcOysHU28"
6,_devil_princess,"RT @bobbyclee: Here's some good warning about #Bitcoin for everyday people, nonetheless on a ""Bitcoin"" @Tesla #Model3 in China! 😁
@elonmusk…"
7,__andoh,RT @elonmusk: Tesla Solar + Powerwall battery enables consumers to be their own utility
8,nomoreslaves,"RT @elonmusk: @JohnnaCrider1 @WholeMarsBlog If Tesla owners are “conspiracy theorists”, then it would be fair to call them “advertising sal…"
9,AbhikeshWale,RT @elonmusk: Tesla Solar + Powerwall battery enables consumers to be their own utility
10,brunkiii,"RT @elonmusk: Starting next week, Tesla Solar Panels &amp; Solar Roof will only be sold as an integrated product *with* Tesla Powerwall battery"
11,Mr_Shizzyy,RT @elonmusk: Tesla Solar + Powerwall battery enables consumers to be their own utility
12,Cathalbell99,"RT @elonmusk: Powerwall 2 peak &amp; steady power capability is better than advertised. 

Now that we have lots of operational data, Tesla can…"
13,TricoreG,"RT @bobbyclee: Here's some good warning about #Bitcoin for everyday people, nonetheless on a ""Bitcoin"" @Tesla #Model3 in China! 😁
@elonmusk…"
14,gdineshp,"RT @elonmusk: Starting next week, Tesla Solar Panels &amp; Solar Roof will only be sold as an integrated product *with* Tesla Powerwall battery"
15,ken_howard1,My new “Tesla” Mobility Scooter. Zero to 25kph in 2 second. Range 72 kms. Disc brakes. Bluetooth Stereo connects to… https://t.co/uQfVbCJHPW
16,Timo50425030,RT @elonmusk: Tesla Solar + Powerwall battery enables consumers to be their own utility
17,ragnazeros,RT @mikastatic: Babe wake up new tesla just dropped https://t.co/egYBLPSQ0b
18,DamonPerry7,RT @elonmusk: Tesla Solar + Powerwall battery enables consumers to be their own utility
19,KumaYhaw,RT @elonmusk: Tesla Solar + Powerwall battery enables consumers to be their own utility
20,SebastjanPe,"RT @elonmusk: Starting next week, Tesla Solar Panels &amp; Solar Roof will only be sold as an integrated product *with* Tesla Powerwall battery"
21,toanmygold,RT @elonmusk: Tesla Solar + Powerwall battery enables consumers to be their own utility
22,laphroaiganddew,POV of me meeting people I convinced not to invest in Tesla in 2018 $TSLAQ https://t.co/LIfeI1tbo3
23,dreamzy1,RT @elonmusk: Tesla Solar + Powerwall battery enables consumers to be their own utility
24,ABoudronikolas,RT @ajleeds89: Yay or no? #tesla #teslainteior @28delayslater @Kristennetten @flcnhvy #pixar #baymax https://t.co/8jaWu9Mqtt
25,moscolincom,"RT @elonmusk: Starting next week, Tesla Solar Panels &amp; Solar Roof will only be sold as an integrated product *with* Tesla Powerwall battery"
26,Gmonchai,RT @ajleeds89: Yay or no? #tesla #teslainteior @28delayslater @Kristennetten @flcnhvy #pixar #baymax https://t.co/8jaWu9Mqtt
27,TheRealSaveT80,RT @elonmusk: Tesla Solar + Powerwall battery enables consumers to be their own utility
